Timestamp,Resource Name,Link to Resource,Short Description of resource,CATEGORY,Resource Due Date,Status,Column 1
2026-03-02,Red Bull Basement 2026 (Innovation challenge!),https://www.redbull.com/us-en/events/red-bull-basement-usa-2026/,"Red Bull Basement is a national innovation competition where students submit an idea using AI tools for a chance to pitch at the World Finals in San Francisco. Three U.S. teams are selected to develop an MVP with mentorship from Microsoft and AMD, then compete globally for a $100,000 grand prize.

Application process: Submit an idea
→ selected applicants record a 1-minute video pitch
→ 15 finalists pitch at Nationals
→ top 3 advance to the World Final.

The first step is just sharing a simple idea in a few sentences, so take a few minutes to think about it. Even if you think your idea isn’t perfect, it doesn’t hurt to try, this is a great opportunity to gain experience and exposure.

Open to U.S. residents (18+)
",COMPETITION,2026-03-29,POSTED,2026-03-02
2026-03-02,Kaiser Permanente Computer Science Internship,https://www.kaiserpermanentejobs.org/job/san-diego/computer-science-bachelor-s-intern/641/91387455472?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Kaiser Permanente San Diego is now accepting applications for their Computer Science undergraduate internship. You’ll support the Southern California Medical Informatics team on projects like AI‑based smart questionnaires and the Get Care Now platform. Work includes assisting with database maintenance, running queries, preparing reports, and analyzing data such as budgeting, production statistics, and service utilization. This is a great opportunity for those comfortable in using Java, JavaScript, and GitHub. Don't forget to apply and check the link for more information!",PROFESSIONAL,,POSTED,2026-03-04
2026-04-07,Devpost Hackathons,https://devpost.com/hackathons,"Devpost is a platform where students can find and participate in hackathons that are currently open. I like this resource because there are always multiple competitions accepting submissions or registrations, so you don’t have to wait for one specific event. You can work on real projects, build your portfolio, and gain experience even as a beginner. It’s a great way to get hands-on experience and something to put on your resume early on.",COMPETITION,,POSTED,2026-04-08
2026-04-08,VenusHacks 2026,https://venushacks.com,"Missed IrvineHacks? No worries!!!

VenusHacks is UCI’s largest women-centric hackathon, and applications are currently open as of yesterday! While it focuses on uplifting women in tech, it is open to everyone, so anyone can apply and participate.

This is a great opportunity to meet new people, work in teams, and build a project — even (and especially) if you’re a beginner. It’s also a really good way to get your first project and experience for your resume.",COMPETITION,2026-05-01,POSTED,2026-04-08
2026-04-07,TRIO Scholars Program (UCI),https://ssi.uci.edu/trio-scholars/,"The TRIO Scholars Program at UCI provides academic support, mentorship (meetings with a personal advisor), tutoring, and career guidance for students throughout their college journey. This program gives you a strong support system.

It’s especially helpful if you’re looking for guidance, community, and structured support to succeed in your first years of college. TRIO can help you if you’re feeling unsure and want direction, support, and people who are genuinely there to help you succeed.",ACADEMIC,2026-04-30,POSTED,2026-04-15
2026-04-07,Big Interview (UCI Career Pathways),https://career.uci.edu/undergraduate/prepare-for-an-interview/big-interview/,"Scared of interviews? Use Big Interview to practice!

Big Interview is a free online platform available through UCI that helps you practice and improve your interview skills. It lets you do mock interviews, get familiar with common interview questions, and even receive feedback on your answers. It also has step-by-step guidance for answering behavioral questions, which can be really helpful if you don’t know how to structure your responses yet.

This is a great resource if you’re preparing for internships or jobs and want to feel more confident going into interviews.",PROFESSIONAL,,POSTED,2026-04-15
2026-04-14,Teach for America Ignite,https://www.teachforamerica.org/ignite?utm_source=google&utm_medium=cpc&utm_campaign=fy26-ignite-grants-spring&utm_content=variant-b-impact&utm_term=teach%20for%20america%20ignite&utm_content=mktg_recruitment_fy20&gad_source=1&gad_campaignid=23740048529&gbraid=0AAAAAD_iPDYcspiO96VkFG9nUOworlK-x&gclid=Cj0KCQjwy_fOBhC6ARIsAHKFB7-ZpK-PzqoVe6WQhwgoMUDAJhf_NArBDm_RI1_1v2Ktzz3aCt_Uk-caAi6DEALw_wcB,"- Tutor for elementary reading, middle school math, or high school college and career advancement. 
- Earn a financial award at the end of each semester, ranging from $1,000-$1,200
- 3-5 hours/week from September to December 2026
- Virtual, remote work
- Choose a schedule that works best for you
- ALL MAJORS WELCOME",PROFESSIONAL,2026-04-29,POSTED,2026-04-15
2026-04-16,BIT Break the Code,https://tinyurl.com/bitbreakthecode-2,"Are you interested in mentoring high school students and teaching them the fundamentals of coding, teamwork, and problem solving while improving your own abilities and understanding? Black in Tech's is hosting a mentorship program, Break the Code. You'll be guiding students and creating a supportive and engaging learning environment for them here at UCI. Check the link out if you are interested in this mentorship opportunity.",ACADEMIC,2026-05-02,POSTED,2026-04-22
2026-04-20,Xu Lab Tour,https://docs.google.com/forms/d/e/1FAIpQLSd9lkc829RXSODieuE6J5mplYRDu9DMjPpkqVNz07OWr-4cwA/viewform,"If you didn’t catch this in Monday’s resource drop, we’re reposting it since the RSVP is due today. This is a behind-the-scenes tour of the Xu Lab, where researchers study how the brain processes things like vision, learning, and memory.

By attending this tour, you’ll get a better idea of what working in a lab is like, how research projects work, and whether this is something you might want to get involved in (which can help a lot for grad school or internships later). It’s also a good chance to ask questions and connect with people already doing research.

Limited spots available, so RSVP ASAP! ",ACADEMIC,2026-04-22,POSTED,2026-04-22
2026-04-29,Networking 101: Practice the Skills that Lead to Internships and Jobs,https://app.joinhandshake.com/stu/events/1927683,"This is an in-person workshop hosted by the UCI Division of Career Pathways focused on building networking skills for internships and jobs. Here, you will learn how to confidently start conversations, build professional relationships, and use networking as a tool for career opportunities.

This is a great opportunity to start networking!",PROFESSIONAL,2026-05-27,POSTED,2026-04-29
2026-04-29,UCI Learning and Academic Resource Center (LARC) Tutoring,http://larc.uci.edu/,"If you are struggling with a course, you should consider enrolling in LARC!

LARC is a small-group tutoring session for courses like math, science, and writing led by trained peer tutors. LARC helps students strengthen their understanding of course material, improve study strategies, and perform better on exams.",ACADEMIC,,POSTED,2026-04-29
2026-04-29,NetWICS Mentorship,https://docs.google.com/forms/d/e/1FAIpQLSfadIzJ2vSbEBdsg4LsKGdWTnomympjr8jdpMl9WpqGhkukNw/viewform,"NetWICS is a 2-day conference for high school students interested in exploring different career paths in computer science and connecting with UC Irvine undergrads. It includes mentorship, networking, and some fun interactive + technical activities.

They’re looking for mentors to support 1–2 students during the event, help them get involved, and just be a friendly guide throughout the day. It’s a low commitment and a nice way to give back while gaining mentorship experience.

Deadline is in 2 days, so don't forget to apply!!",ACADEMIC,2026-05-01,POSTED,2026-05-06
2026-04-29,Pediatric EMS Decision Support App & Web Development (Ionic Platform) ,https://urldefense.com/v3/__https://redcap-edc.bidmc.harvard.edu/edata/surveys/?s=3HLTAX3RNY39FRWX__;!!CzAuKJ42GuquVTTmVmPViYEvSg!I1L2lUZd-Gl8Atk1WgmBpD0fC25GVAXrH1y9DlSbaW97a3V1QhUKRKSlNxmlaPRFsf9a-kt7ZqswjjFD7e4JXU26Qg$,"The Beth Israel Deaconess Medical Center (BIDMC) Center for Learning Health Care Delivery (CLHCD) is dedicated to advancing learning health system science and improving healthcare delivery through continuous, data-driven innovation across clinical environments. 

CLHCD is seeking a motivated student software developer to support the improvement and expansion of an existing Ionic-based mobile application designed to support clinical EMS first responder teams during pediatric emergencies. This role offers a unique opportunity to contribute directly to a real-world, mission-critical healthcare tool used in high-acuity emergency settings. 
The project involves implementing new features and improvements within an existing application, contributing to both front-end and back-end development, and collaborating closely with a multidisciplinary team of physicians, researchers, and engineers to refine user workflows tailored to EMS practice. The Student Scholar may also support debugging, testing, and performance optimization of the application, with optional opportunities to participate in hands-on or simulated field testing with EMS partners. 
We are also looking for the Student Scholar to support web development for interactive evidence and data dashboards related to maternal and child health. 
Position Details: 
Part-time student position (start date: as soon as possible)  
Initial duration: ~3 months, with potential for ongoing part-time involvement  
Most work can be completed remotely 
Required Background & Skills: 
Currently enrolled graduate student in Computer Science, Software Engineering, Computer Engineering, or related field  
Experience with TypeScript, Redux (Redux Toolkit), and Python  
Familiarity with Ionic framework (Android/web development), Git, and Docker  
Familiarity with data visualization tools (e.g. web-based, Power BI, etc.) 
Helpful (but not required): 
Interest in healthcare, emergency medicine, or human-centered software design  
Prior experience working on software development projects  
Students who may not yet have experience across all listed areas but have strong interest and willingness to learn are strongly encouraged to apply. 
What You’ll Gain: 
Hands-on experience contributing to a mission-critical healthcare technology application  
Exposure to software development in emergency medicine and pediatric clinical contexts and dashboard building  
Mentorship from a multidisciplinary team of clinicians, engineers, and health services researchers  
Opportunity to make meaningful contributions that directly support frontline EMS providers and patient care delivery  
Students will be supported by the CLHCD team through regular check-ins, may be eligible for funding or academic credit depending on institutional arrangements, and can list participation as   a “CLHCD student scholar” experience on their CV.  

Email slee82@bidmc.harvard.edu for any questions",PROFESSIONAL,,NOT_POSTED,
2026-04-29,Daplab RA's,https://forms.gle/Yi2Erzyh1gQ6eKT58,"The UCI Design & Partnership Lab (DapLab) is recruiting undergraduate research assistants for in-person positions during the 2026-27 academic year. Students can commit 8–10 hours per week for either volunteer experience or course credit. Applications are accepted on a rolling basis, with no set deadline for students to indicate their quarterly availability. To apply, interested students must submit an interest form along with their resume and unofficial transcript.
",ACADEMIC,,NOT_POSTED,
